s_id,Name,gender,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,specialisation,mba_p
105,Khloe Miller,M,69,Central,63,Others,Science,65,Comm&Mgmt,Mkt&HR,58.23
106,Patrick O'Donnell,M,59,Central,64,Others,Science,58,Sci&Tech,Mkt&HR,55.3
107,Adam Bellavance,M,61.08,Others,50,Others,Science,54,Sci&Tech,Mkt&Fin,65.69
108,Adam Bellavance,M,82,Others,90,Others,Commerce,83,Comm&Mgmt,Mkt&HR,73.52
109,Dave Brooks,M,61,Central,82,Central,Commerce,69,Comm&Mgmt,Mkt&Fin,58.31
110,Valerie Mitchum,M,52,Central,63,Others,Science,65,Sci&Tech,Mkt&HR,56.09
111,Bill Shonely,F,69.5,Central,70,Central,Science,72,Sci&Tech,Mkt&HR,54.8
112,Don Miller,M,51,Others,54,Others,Science,61,Sci&Tech,Mkt&HR,60.64
113,Neoma Murray,M,58,Others,61,Others,Commerce,61,Comm&Mgmt,Mkt&HR,53.94
114,Lena Creighton,F,73.96,Others,79,Others,Commerce,67,Comm&Mgmt,Mkt&Fin,63.08
115,Rose O'Brian,M,65,Central,68,Others,Science,69,Comm&Mgmt,Mkt&HR,55.01
116,Sarah Brown,F,73,Others,63,Others,Science,66,Comm&Mgmt,Mkt&Fin,60.5
117,Erin Mull,M,68.2,Central,72.8,Central,Commerce,66.6,Comm&Mgmt,Mkt&Fin,70.85
118,Roland Schwarz,M,77,Others,75,Others,Science,73,Sci&Tech,Mkt&Fin,67.05
119,Odella Nelson,M,76,Central,80,Central,Science,78,Sci&Tech,Mkt&HR,70.48
120,Vivek Sundaresam,M,60.8,Central,68.4,Central,Commerce,64.6,Comm&Mgmt,Mkt&Fin,64.34
121,Chad McGuire,M,58,Others,40,Others,Science,59,Comm&Mgmt,Mkt&HR,58.81
122,Tom Boeckenhauer,F,64,Central,67,Others,Science,69.6,Sci&Tech,Mkt&HR,71.49
123,Adrian Barton,F,66.5,Central,66.8,Central,Arts,69.3,Comm&Mgmt,Mkt&Fin,71
124,Jason Klamczynski,M,74,Others,59,Others,Commerce,73,Comm&Mgmt,Mkt&HR,56.7
125,Rachel Payne,M,67,Central,71,Central,Science,64.33,Others,Mkt&HR,61.26
126,Don Weiss,F,84,Central,73,Central,Commerce,73,Comm&Mgmt,Mkt&Fin,73.33
127,Penelope Sewall,F,79,Others,61,Others,Science,75.5,Sci&Tech,Mkt&Fin,68.2
128,Christopher Conant,F,72,Others,60,Others,Science,69,Comm&Mgmt,Mkt&HR,58.4
129,Toby Carlisle,M,80.4,Central,73.4,Central,Science,77.72,Sci&Tech,Mkt&HR,76.26
130,Gary McGarr,M,76.7,Central,89.7,Others,Commerce,66,Comm&Mgmt,Mkt&Fin,68.55
131,Stuart Van,M,62,Central,65,Others,Commerce,60,Comm&Mgmt,Mkt&Fin,64.15
132,Michael Moore,F,74.9,Others,57,Others,Science,62,Others,Mkt&Fin,60.78
133,Julie Kriz,M,67,Others,68,Others,Commerce,64,Comm&Mgmt,Mkt&HR,53.49
134,Evan Minnotte,M,73,Central,64,Others,Commerce,77,Comm&Mgmt,Mkt&HR,60.98
135,Don Jones,F,77.44,Central,92,Others,Commerce,72,Comm&Mgmt,Mkt&Fin,67.13
136,Paul MacIntyre,F,72,Central,56,Others,Science,69,Comm&Mgmt,Mkt&HR,65.63
137,Alyssa Tate,F,47,Central,59,Central,Arts,64,Comm&Mgmt,Mkt&Fin,61.58
138,Aaron Bergman,M,67,Others,63,Central,Commerce,72,Comm&Mgmt,Mkt&HR,60.41
139,Resi Pölking,F,82,Others,64,Others,Science,73,Sci&Tech,Mkt&Fin,71.77
140,Max Jones,M,77,Central,70,Central,Commerce,59,Comm&Mgmt,Mkt&Fin,54.43
141,Paul Van Hugh,M,65,Central,64.8,Others,Commerce,69.5,Comm&Mgmt,Mkt&Fin,56.94
142,Sean Braxton,M,66,Central,64,Central,Science,60,Comm&Mgmt,Mkt&HR,61.9
143,Sally Matthias,M,85,Central,60,Others,Science,73.43,Sci&Tech,Mkt&Fin,61.29
144,Karen Ferguson,M,77.67,Others,64.89,Others,Commerce,70.67,Comm&Mgmt,Mkt&Fin,60.39
145,Katharine Harms,M,52,Others,50,Others,Arts,61,Comm&Mgmt,Mkt&Fin,58.52
146,Mike Pelletier,M,89.4,Others,65.66,Others,Science,71.25,Sci&Tech,Mkt&HR,63.23
147,Lisa Hazard,M,62,Central,63,Others,Science,66,Comm&Mgmt,Mkt&HR,55.14
148,Natalie DeCherney,M,70,Central,74,Central,Commerce,65,Comm&Mgmt,Mkt&Fin,62.28
149,Corey Roper,F,77,Central,86,Central,Arts,56,Others,Mkt&Fin,64.08
150,Noah Childs,M,44,Central,58,Central,Arts,55,Comm&Mgmt,Mkt&HR,58.54
151,Greg Matthias,M,71,Central,58.66,Central,Science,58,Sci&Tech,Mkt&Fin,61.3
152,Ryan Akin,M,65,Central,65,Central,Commerce,75,Comm&Mgmt,Mkt&Fin,58.87
153,Dave Brooks,F,75.4,Others,60.5,Central,Science,84,Sci&Tech,Mkt&Fin,65.25
154,Bart Watters,M,49,Others,59,Others,Science,65,Sci&Tech,Mkt&Fin,62.48
155,Roland Fjeld,M,53,Central,63,Others,Science,60,Comm&Mgmt,Mkt&Fin,53.2
156,John Huston,M,51.57,Others,74.66,Others,Commerce,59.9,Comm&Mgmt,Mkt&HR,65.99
157,Anna Gayman,M,84.2,Central,69.4,Central,Science,65,Sci&Tech,Mkt&HR,52.72
158,Dario Medina,M,66.5,Central,62.5,Central,Commerce,60.9,Comm&Mgmt,Mkt&Fin,55.03
159,Karen Daniels,M,67,Others,63,Others,Science,64,Sci&Tech,Mkt&Fin,61.87
160,Bill Eplett,M,52,Central,49,Others,Commerce,58,Comm&Mgmt,Mkt&HR,60.59
161,Sean O'Donnell,M,87,Central,74,Central,Science,65,Sci&Tech,Mkt&HR,72.29
162,Damala Kotsonis,M,55.6,Others,51,Others,Commerce,57.5,Comm&Mgmt,Mkt&HR,62.72
163,Liz Carlisle,M,74.2,Central,87.6,Others,Commerce,77.25,Comm&Mgmt,Mkt&Fin,66.06
164,Phillip Breyer,M,63,Others,67,Others,Science,64,Sci&Tech,Mkt&Fin,66.46
165,Claire Gute,F,67.16,Central,72.5,Central,Commerce,63.35,Comm&Mgmt,Mkt&Fin,65.52
166,Toby Braunhardt,F,63.3,Central,78.33,Others,Commerce,74,Comm&Mgmt,Mkt&Fin,74.56
167,Hunter Glantz,M,62,Others,62,Others,Commerce,60,Comm&Mgmt,Mkt&HR,52.38
168,Alan Dominguez,M,67.9,Others,62,Others,Science,67,Sci&Tech,Mkt&Fin,75.71
169,Becky Pak,F,48,Central,51,Central,Commerce,58,Comm&Mgmt,Mkt&HR,58.79
170,Andrew Allen,M,59.96,Others,42.16,Others,Science,61.26,Sci&Tech,Mkt&HR,65.48
171,Rob Lucas,F,63.4,Others,67.2,Others,Commerce,60,Comm&Mgmt,Mkt&HR,69.28
172,Cindy Stewart,M,80,Others,80,Others,Commerce,72,Comm&Mgmt,Mkt&Fin,66.04
173,Scot Wooten,M,73,Others,58,Others,Commerce,56,Comm&Mgmt,Mkt&HR,52.64
174,Tom Ashbrook,F,52,Others,52,Others,Science,55,Sci&Tech,Mkt&HR,59.32
175,Bart Watters,M,73.24,Others,50.83,Others,Science,64.27,Sci&Tech,Mkt&Fin,66.23
176,Yoseph Carroll,M,63,Others,62,Others,Science,65,Sci&Tech,Mkt&HR,60.69
177,Jill Matthias,F,59,Central,60,Others,Commerce,56,Comm&Mgmt,Mkt&HR,57.9
178,Maria Zettner,F,73,Central,97,Others,Commerce,79,Comm&Mgmt,Mkt&Fin,70.81
179,Jason Fortune-,M,68,Others,56,Others,Science,68,Sci&Tech,Mkt&HR,68.07
180,John Lee,F,77.8,Central,64,Central,Science,64.2,Sci&Tech,Mkt&HR,72.14
181,Don Jones,M,65,Central,71.5,Others,Commerce,62.8,Comm&Mgmt,Mkt&Fin,56.6
182,Monica Federle,M,62,Central,60.33,Others,Science,64.21,Sci&Tech,Mkt&HR,60.02
183,Toby Carlisle,M,52,Others,65,Others,Arts,57,Others,Mkt&Fin,59.81
184,Jim Epp,M,65,Central,77,Central,Commerce,69,Comm&Mgmt,Mkt&HR,61.82
185,Christine Phan,F,56.28,Others,62.83,Others,Commerce,59.79,Comm&Mgmt,Mkt&HR,57.29
186,Eugene Hildebrand,F,88,Central,72,Central,Science,78,Others,Mkt&HR,71.43
187,Nat Carroll,F,52,Central,64,Central,Commerce,61,Comm&Mgmt,Mkt&Fin,62.93
188,Barry Franz,M,78.5,Central,65.5,Central,Science,67,Sci&Tech,Mkt&Fin,64.86
189,Joy Smith,M,61.8,Others,47,Others,Commerce,54.38,Comm&Mgmt,Mkt&Fin,56.13
190,Alice McCarthy,F,54,Central,77.6,Others,Commerce,69.2,Comm&Mgmt,Mkt&Fin,66.94
191,Jamie Frazer,F,64,Others,70.2,Central,Commerce,61,Comm&Mgmt,Mkt&Fin,62.5
192,Aaron Bergman,M,67,Others,61,Central,Science,72,Comm&Mgmt,Mkt&Fin,61.01
193,James Galang,M,65.2,Central,61.4,Central,Commerce,64.8,Comm&Mgmt,Mkt&Fin,57.34
194,Dennis Pardue,F,60,Central,63,Central,Arts,56,Others,Mkt&HR,56.63
195,Alex Grayson,M,52,Others,55,Others,Commerce,56.3,Comm&Mgmt,Mkt&Fin,64.74
196,Grace Kelly,M,66,Central,76,Central,Commerce,72,Comm&Mgmt,Mkt&HR,58.95
197,Neil Französisch,M,72,Others,63,Others,Science,77.5,Sci&Tech,Mkt&Fin,54.48
198,Yoseph Carroll,F,83.96,Others,53,Others,Science,91,Sci&Tech,Mkt&HR,69.71
199,Daniel Raglin,F,67,Central,70,Central,Commerce,65,Others,Mkt&HR,71.96
200,Nona Balk,M,69,Others,65,Others,Commerce,57,Comm&Mgmt,Mkt&HR,55.8
201,Nathan Mautz,M,69,Others,60,Others,Commerce,65,Comm&Mgmt,Mkt&Fin,52.81
202,Tom Ashbrook,M,54.2,Central,63,Others,Science,58,Comm&Mgmt,Mkt&HR,58.44
203,Nora Paige,M,70,Central,63,Central,Science,66,Sci&Tech,Mkt&HR,60.11
204,Shahid Collister,M,55.68,Others,61.33,Others,Commerce,56.87,Comm&Mgmt,Mkt&HR,58.3
205,Pete Armstrong,F,74,Others,73,Others,Commerce,73,Comm&Mgmt,Mkt&Fin,67.69
206,Rob Beeghly,M,61,Others,62,Others,Commerce,65,Comm&Mgmt,Mkt&Fin,56.81
207,Steven Roelle,M,41,Central,42,Central,Science,60,Comm&Mgmt,Mkt&Fin,53.39
208,Rick Huthwaite,M,83.33,Central,78,Others,Commerce,61,Comm&Mgmt,Mkt&Fin,71.55
209,Larry Hughes,F,43,Central,60,Others,Science,65,Comm&Mgmt,Mkt&HR,62.92
210,James Galang,M,62,Central,72,Central,Commerce,65,Comm&Mgmt,Mkt&Fin,56.49
211,Ken Black,M,80.6,Others,82,Others,Commerce,77.6,Comm&Mgmt,Mkt&Fin,74.49
212,Logan Haushalter,M,58,Others,60,Others,Science,72,Sci&Tech,Mkt&Fin,53.62
213,Eleni McCrary,M,67,Others,67,Others,Commerce,73,Comm&Mgmt,Mkt&Fin,69.72
214,Mary Zewe,F,74,Others,66,Others,Commerce,58,Comm&Mgmt,Mkt&HR,60.23
215,Kent Will,M,62,Central,58,Others,Science,53,Comm&Mgmt,Mkt&HR,60.22
